H_得意先ID, H_取引先名1, H_取引先名2, H_T締日, H_郵便番号, H_住所1, H_住所2, H_電話番号, H_FAX, H_自社ID, H_自社名, H_代表者名, H_自社郵便番号, H_自社住所1, H_自社住所2, H_自社電話番号, H_自社FAX, H_当月請求合計, H_当月売上額, H_当月通行料, H_当月課税金額, H_当月非課税金額, H_当月消費税, H_前月繰越額, H_当月入金額, H_当月入金調整額, H_差引繰越額, H_振込銀行1, H_振込銀行2, H_振込銀行3, D_請求日付, D_配送時間, D_得意先略称名, D_請求内訳名, D_車輌ID, D_車種名, D_支払先略称名, D_乗務員名, D_車輌番号, D_支払先名2次, D_実運送乗務員, D_乗務員連絡先, D_数量, D_単位, D_重量, D_走行KM, D_実車KM, D_売上単価, D_売上金額, D_通行料, D_請求割増1, D_請求割増2, D_請求消費税, D_売上金額計1, D_売上金額計2, D_売上金額計3, D_社内区分, D_請求税区分, D_商品ID, D_商品名, D_発地ID, D_発地名, D_着地ID, D_着地名, D_請求摘要ID, D_請求摘要, D_社内備考ID, D_社内備考
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/01,123456,123456,123456,123456,123456,123456,123456,1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,100,123456,123456,123456,123456,123456,123456,123456,1,123456,123456,123456,兵庫県尼崎市（S),123456,三重県四日市市,123456,123456,123456,123456
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/02,222222,222222,222222,222222,222222,222222,222222,1112,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/03,222222,222222,222222,222222,222222,222222,222222,1113,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/04,222222,222222,222222,222222,222222,222222,222222,1114,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/05,222222,222222,222222,222222,222222,222222,222222,1115,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/06,222222,222222,222222,222222,222222,222222,222222,1116,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/07,222222,222222,222222,222222,222222,222222,222222,1117,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/08,222222,222222,222222,222222,222222,222222,222222,1118,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/09,222222,222222,222222,222222,222222,222222,222222,1119,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/10,222222,222222,222222,222222,222222,222222,222222,1120,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/11,222222,222222,222222,222222,222222,222222,222222,1121,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/12,222222,222222,222222,222222,222222,222222,222222,1122,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/13,222222,222222,222222,222222,222222,222222,222222,1123,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/14,222222,222222,222222,222222,222222,222222,222222,1124,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/15,222222,222222,222222,222222,222222,222222,222222,1125,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/16,222222,222222,222222,222222,222222,222222,222222,1126,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/17,222222,222222,222222,222222,222222,222222,222222,1127,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/18,222222,222222,222222,222222,222222,222222,222222,1128,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/19,222222,222222,222222,222222,222222,222222,222222,1129,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/20,222222,222222,222222,222222,222222,222222,222222,1130,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/21,222222,222222,222222,222222,222222,222222,222222,1131,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/22,222222,222222,222222,222222,222222,222222,222222,1132,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/23,222222,222222,222222,222222,222222,222222,222222,1133,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/24,222222,222222,222222,222222,222222,222222,222222,1134,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/25,222222,222222,222222,222222,222222,222222,222222,1135,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/26,222222,222222,222222,222222,222222,222222,222222,1136,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/27,222222,222222,222222,222222,222222,222222,222222,1137,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/28,222222,222222,222222,222222,222222,222222,222222,1138,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/29,222222,222222,222222,222222,222222,222222,222222,1139,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/30,222222,222222,222222,222222,222222,222222,222222,1140,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,10/31,222222,222222,222222,222222,222222,222222,222222,1141,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,11/01,222222,222222,222222,222222,222222,222222,222222,1142,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,11/02,222222,222222,222222,222222,222222,222222,222222,1143,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,11/03,222222,222222,222222,222222,222222,222222,222222,1144,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
1,トラント情報システム株式会社,123456,20,550-0011,大阪市淀川区宮原,2丁目13-1 サンパレス新大阪2F,06-3333-4444,06-8888-9999,123456,自社名４５６７８９０１２３４５６,123456,550-0055,住所壱４５６７８９０１２３４５６７８９０,住所弐４５６７８９０１２３４５６７８９０,06-9999-8888,06-5555-1111,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,11/04,222222,222222,222222,222222,222222,222222,222222,1145,222222,222222,222222,222222,222222,222222,222222,222222,222222,222222,100,222222,222222,222222,222222,222222,222222,222222,1,222222,222222,222222,発地名４５６７８９０１２３４５,222222,着地名４５６７８９０１２３４５,222222,222222,222222,222222
